composite_key,q_id,region,state,county,utility,developer,fuel_bucketed,mw_total,q_year,viability,confidence
GI-2024-18_West_CO_2024.0,GI-2024-18,West,CO,Morgan,Public Service Company Of Colorado,,Solar,150.0,2024.0,0.06890131,validated
GI-TC-2024-15_West_WY_2024.0,GI-TC-2024-15,West,WY,Laramie,Tri-State Generation and Transmission Association,,Wind,250.0,2024.0,0.06890131,validated
GEN-2023-223_SPP_NE_2023.0,GEN-2023-223,SPP,NE,Gage,NPPD,,Gas,239.0,2023.0,0.06890131,unvalidated
GI-TC-2024-10_West_CO_2024.0,GI-TC-2024-10,West,CO,Kit Carson,Tri-State Generation and Transmission Association,,Solar,199.0,2024.0,0.06890131,validated
C4-122_West_OR_2024.0,C4-122,West,OR,Umatilla,PacifiCorp,,Solar,3.0,2024.0,0.06890131,validated
GI-TC-2024-25_West_CO_2024.0,GI-TC-2024-25,West,CO,Weld,Tri-State Generation and Transmission Association,,Wind,350.0,2024.0,0.06890131,validated
AG1-483_PJM_MD_2020.0,AG1-483,PJM,MD,Montgomery,PEPCO,,Battery,500.0,2020.0,0.06890131,validated
LGE-GIS-2020-001_Southeast_KY_2020.0,LGE-GIS-2020-001,Southeast,KY,Madison,Louisville Gas & Electric and Kentucky Utilities Energy,,Solar,50.0,2020.0,0.06890131,validated
949286_Southeast_SC_2024.0,949286,Southeast,SC,Anderson,Duke Energy Carolinas,,Solar,0.875,2024.0,0.06890131,validated
GI-TC-2024-30_West_CO_2024.0,GI-TC-2024-30,West,CO,Morgan,Tri-State Generation and Transmission Association,,Solar+Battery,199.9,2024.0,0.06890131,validated
GEN-2023-063_SPP_OK_2023.0,GEN-2023-063,SPP,OK,Rogers,AEP,,Solar+Battery,135.0,2023.0,0.06890131,unvalidated
C2-28_West_UT_2022.0,C2-28,West,UT,Salt Lake,PacifiCorp,"Dominguez Grid, LLC",Battery,199.0,2022.0,0.06890131,validated
C2-27_West_OR_2022.0,C2-27,West,OR,Multnomah,PacifiCorp,"Troutdale Grid, LLC",Battery,100.0,2022.0,0.06890131,validated
AI1-039_PJM_PA_2022.0,AI1-039,PJM,PA,Clearfield,PENELEC,,Solar+Battery,200.0,2022.0,0.06890131,validated
IC-798_Southeast_GA_2019.0,IC-798,Southeast,GA,Macon,Southern Company,,Solar,150.0,2019.0,0.06890131,validated
Q72_West_CA_2019.0,Q72,West,CA,San Bernardino,Los Angeles Department of Water and Power,,Solar+Battery,400.0,2019.0,0.06890131,validated
IA-PNM-2022-05_West_NM_2022.0,IA-PNM-2022-05,West,NM,Mckinley,Public Service Company of New Mexico,,Solar+Battery,199.0,2022.0,0.06890131,validated
IA-PNM-2022-02_West_NM_2022.0,IA-PNM-2022-02,West,NM,Santa Fe,Public Service Company of New Mexico,,Solar,220.0,2022.0,0.06890131,validated
IA-PNM-2022-08_West_NM_2022.0,IA-PNM-2022-08,West,NM,Curry,Public Service Company of New Mexico,,Solar+Battery,500.0,2022.0,0.06890131,validated
IA-PNM-2022-11_West_NM_2022.0,IA-PNM-2022-11,West,NM,Bernalillo,Public Service Company of New Mexico,,Battery,100.0,2022.0,0.06890131,validated
1761_CAISO_CA_2020.0,1761,CAISO,CA,Riverside,SCE,,Solar+Battery,1017.12,2020.0,0.06890131,unvalidated
24-248_West_OR_2024.0,24-248,West,OR,Columbia,Portland General Electric,,Battery,100.0,2024.0,0.06890131,validated
G0537_West_OR_2016.0,G0537,West,OR,Harney,Bonneville Power Administration,,Solar,20.0,2016.0,0.06890131,validated
545_NYISO_NY_2016.0,545,NYISO,NY,Onondaga,NM-NG,"Sky High Solar, LLC",Solar,20.0,2016.0,0.06890131,unvalidated
G0539_West_OR_2016.0,G0539,West,OR,Crook,Bonneville Power Administration,,Solar,600.0,2016.0,0.06890131,validated
G0543_West_OR_2016.0,G0543,West,OR,Umatilla,Bonneville Power Administration,,Wind,350.0,2016.0,0.06890131,validated
16-058_West_OR_2016.0,16-058,West,OR,Jefferson,Portland General Electric,,Solar,150.0,2016.0,0.06890131,validated
J2149_MISO_AR_2021.0,J2149,MISO,AR,Saline,ENTERGY ARKANSAS,,Solar,240.0,2021.0,0.06890131,unvalidated
